leader,client,version,name,www_url,details,avatar_url,active_stake,active_stake_pct,commission,data_center_key,blocks,skipped,skip_rate,avg_compute_units,compute_units_p10,compute_units_p50,compute_units_p90,avg_txn,avg_vote,p50_included_votes,p90_included_votes,p99_included_votes,p999_included_votes,avg_user,avg_fee,fee_p10,fee_p50,fee_p90,avg_tips,tips_p10,tips_p50,tips_p90,rewards_p10,rewards_p50,rewards_p90,avg_reward,votes,missed_votes,avg_vote_latency,vote_latency_p90,vote_latency_p95,vote_latency_p99,lat1_vote_rate,low_latency_votes,lat2_vote_rate
2abwQG3v2xRemFxRszVHSfnjJNe9zu5X8duKgxjyLeaK,Agave JitoBAM,4.0.3,Bitwise Onchain Solutions Research,https://onchain.bitwiseinvestments.com/,Bitwise Onchain Solutions,https://bitwiseinvestments.com/bitwise-full-square.png,47025781732744,0.0001101554905608464,0,60068-GB-London,688,0,0.0,33453095.292151164,19677868,30553972,54244135,1266.7049418604652,705.0886627906976,707,740,791,838,561.6162790697674,27083817.046511628,6046588,12497072,30129196,6676081.941860465,425493,2237801,11582489,7152731,15697390,42669945,33759898.988372095,6064963,535,1.4244273213208392,2,2,2,0.5783025565254494,6056458,0.9985096030037436
49j9bnkdgVNxLwsZ9h88sPR5MYEmsUyKrrJ6ZW8ijBrb,Agave JitoBAM,4.0.3,StakeChain,https://stakechain.pro,"Tap into our extensive track record in Solana staking. With advanced MEV optimization, near-perfect uptime, and transparent fees, we guarantee a smarter path to higher rewards.",https://tinyurl.com/3473y36v,46449667440590,0.00010880597227251671,0,20473-CA-Toronto,620,0,0.0,33193716.8,20358419,30008920,53063795,1247.1274193548388,710.0129032258064,707,728,774,1215,537.1145161290323,18028541.9983871,5962526,11911382,34935194,3940225.408064516,344898,1447002,8377037,6872268,14232021,41491757,21968767.406451613,6065377,121,1.0091473291767354,1,1,1,0.993423623254018,6058032,0.9987691035426934
Lua1fxRRHCnjVAYdfGyv2GbUsRHGM2DN2wgpWuF2WSb,Agave JitoBAM,4.0.3,Lua Sol Foundation,https://luasolfoundation.xyz/,Donating a portion validator revenues to children's charity all on chain through The Giving Block,https://i.ibb.co/tTYnX6g0/lua-sol.png,44926400441584,0.00010523779717052116,5,26042-US-Draper,724,0,0.0,34695037.8839779,21146926,30737847,58410455,1274.7527624309391,710.2582872928177,708,726,759,973,564.4944751381215,27034691.556629833,6407660,12372724,32638570,6584829.343922652,465564,2053393,10049213,7671362,15294518,43185069,33619520.90055249,6065153,345,1.0152367137317064,1,1,2,0.985820455303093,6061344,0.9993151427961892
sTEVErNNwF2qPnV6DuNPkWpEyCt4UU6k2Y3Hyn7WUFu,Agave JitoBAM,4.0.3,STEVE,,Vote for STEVE,https://i.ibb.co/1Jbd6Qg6/STEVE.png,44718240350396,0.00010475019279447228,5,396356-JP-Tokyo,780,1,0.001282051282051282,32355762.30038511,19955295,29710326,50475842,1228.3196405648266,702.2580231065468,706,747,844,1361,526.0616174582799,18650438.58793325,5705862,11262677,28488334,4511241.173299101,328734,1586442,7936674,6831158,13811401,37318708,23161679.76123235,6065066,432,1.028932743683251,1,1,2,0.971796380115862,6061155,0.9992839829474844
1i1yPyh843bTfi5qPgqozTbDcEX65rUNEFcUT2KAs2i,Agave JitoBAM,4.0.3,Lilith,,Lilith,https://i.ibb.co/Z67srbfX/lillith.png,44639599582631,0.00010456598081474453,5,396356-JP-Tokyo,736,0,0.0,33711449.90081522,21359456,30129196,54789298,1257.9660326086955,701.6100543478261,706,742,829,1349,556.3559782608696,20383911.44021739,6070823,11652193,32834990,5588488.514945652,342150,1799473,9332419,7195776,14694811,42926734,25972399.955163043,6065106,392,1.0319601998711976,1,1,2,0.968804375172492,6061071,0.9992701341258377
chdvWr6T14nqGRFD37KY36dsvhkCtDaufW5rpu3AfHe,Agave JitoBAM,4.0.3,CH Dev,https://ch-dev-eta.vercel.app/,dev validator,https://thepracticaldev.s3.amazonaws.com/i/78hs31fax49uwy6kbxyw.png,44595697263901,0.00010446314187664996,5,396356-JP-Tokyo,664,1,0.0015060240963855422,33263710.259426847,21104675,30008920,52851964,1250.1659125188537,703.2202111613876,705,742,821,1273,546.9457013574661,18422786.64856712,5962526,11722316,27153193,5309485.944193061,333368,1612029,8113215,7011097,14753708,35427726,23732272.59276018,6065100,398,1.0290024896539216,1,1,2,0.9717165845244694,6061241,0.9992981615029796
rssaJ2iKcE9QWsFYRZr8Q66TQh5bRk9DxYrzxGMzWQr,Agave JitoBAM,4.0.3,RSSA validator,https://www.rssa.net,Solana High-Performance Validator,https://i.ibb.co/ftvL9yg/RSSA.jpg,44389893706120,0.0001039810575596816,0,26666-US-America/Chicago,804,0,0.0,34248036.631840795,21104675,30861044,56570910,1278.1106965174129,710.0074626865671,709,731,757,856,568.1032338308457,18162386.12313433,6563304,12323332,28659778,6168123.65920398,395934,2057504,9732729,7795091,14872211,37244145,24330509.78233831,6065482,16,1.0085597484255993,1,1,1,0.9920885309005132,6062547,0.9995134777062
dst2u7mXMyDvb14cSErRNA1mxH1d5VXbSXgZ3DKE9xH,Agave JitoBAM,4.0.3,Dust Eleven,,Open source developer on Solana,https://gateway.irys.xyz/14Bod3DCE8uXKbhHeMwNzf3kwwJu1SYdi3KJKBn12MWy,44362832557375,0.00010391766820164632,5,396356-JP-Tokyo,740,1,0.0013513513513513514,31935144.722598106,18680768,30249955,52117191,1230.3870094722597,702.9242219215156,706,746,819,1323,527.4627875507442,16948573.771312583,5526165,10756329,26298046,6779729.296346414,293903,1638029,9129348,6629267,13111562,34243430,23728303.067659,6065095,403,1.0321058450032523,1,1,2,0.9686353865750182,6061163,0.9992853018828792
DCKyEmMENQMtLXgbmUoHRmgP9XdJ9HsR5WxrKnSDCzKA,Agave JitoBAM,4.0.3,Dicky,,Dicky,https://i1.sndcdn.com/avatars-000615061062-gydcey-t1080x1080.jpg,44311014157794,0.00010379628624869202,5,396356-JP-Tokyo,728,1,0.0013736263736263735,32518108.58596974,20317743,29769807,51289952,1256.980742778542,703.6423658872077,706,740,825,1079,553.3383768913343,19162223.12929849,5974463,11536251,29591722,5012468.876203576,348364,1677817,9388582,6749674,13894519,40104750,24174692.005502064,6065100,398,1.0295419696295196,1,1,2,0.971190164434973,6061181,0.9992882694875178
DiFeTctQSaNczJNmZ5121kYqLaBe9wDpM9sjCzTELJLE,Agave Vanilla,4.0.3,Serhio911,,,https://s3.amazonaws.com/keybase_processed_uploads/fc3738eea7efb0c66dd5836a08d62205_360_360.jpg,43786145593858,0.00010256680845991388,5,57494-RU-Novosibirsk,612,0,0.0,26758410.49509804,14062257,22771155,50576895,1098.970588235294,668.7238562091503,693,799,855,1118,430.2467320261438,24567464.42647059,4634341,8966490,22320255,154695.38725490196,0,9405,317110,4680917,9129348,22725658,24722159.81372549,6062326,3172,1.0350824089631605,1,1,2,0.9730454119348484,6056750,0.998557744145658
